demand [dɪˈmænd] (v.) [anki:play:q:0]	требовать, нуждаться [anki:play:a:0]
death [ˈdeθ] (n.) [anki:play:q:0]	смерть [anki:play:a:0]
after [ˈæftər] (conj.) [anki:play:q:0]	после того как [anki:play:a:0]
living [ˈlɪvɪŋ] (adj.) [anki:play:q:0]	живущий, живой [anki:play:a:0]
argument [ˈɑrgjəmənt] (n.) [anki:play:q:0]	довод, аргумент [anki:play:a:0]
silver [ˈsɪlvər] (n.) [anki:play:q:0]	серебро [anki:play:a:0]
east [ˈiːst] (n.) [anki:play:q:0]	восток [anki:play:a:0]
tree [ˈtriː] (n.) [anki:play:q:0]	дерево [anki:play:a:0]
closed [ˈkloʊzd] (adj.) [anki:play:q:0]	закрытый [anki:play:a:0]
god [ˈgɑd] (n.) [anki:play:q:0]	бог, божество [anki:play:a:0]
grain [ˈgreɪn] (n.) [anki:play:q:0]	зерно, крупа [anki:play:a:0]
strict [ˈstrɪkt] (adj.) [anki:play:q:0]	строгий, требовательный [anki:play:a:0]
curve [ˈkərv] (n.) [anki:play:q:0]	кривая, дуга [anki:play:a:0]
possible [ˈpɑsəbəl] (adj.) [anki:play:q:0]	вероятный, возможный, терпимый [anki:play:a:0]
disk [ˈdɪsk] (n.) [anki:play:q:0]	диск [anki:play:a:0]
mostly [ˈmoʊstliː] (adv.) [anki:play:q:0]	главным образом, обычно [anki:play:a:0]
connection [kəˈnekʃən] (n.) [anki:play:q:0]	связь, пересадка [anki:play:a:0]
past [ˈpæst] (adv.) [anki:play:q:0]	мимо [anki:play:a:0]
run [ˈrən] (n.) [anki:play:q:0]	бег [anki:play:a:0]
roll [ˈroʊl] (v.) [anki:play:q:0]	катиться [anki:play:a:0]
fence [ˈfens] (n.) [anki:play:q:0]	забор, изгородь [anki:play:a:0]
force [ˈfɔrs] (n.) [anki:play:q:0]	сила (полицейская, притяжения) [anki:play:a:0]
surprise [sərˈpraɪz] (n.) [anki:play:q:0]	удивление, сюрприз [anki:play:a:0]
air [ˈer] (n.) [anki:play:q:0]	воздух, атмосфера [anki:play:a:0]
determination [dɪˌtərməˈneɪʃən] (n.) [anki:play:q:0]	решительность, решимость [anki:play:a:0]
left [ˈleft] (n.) [anki:play:q:0]	левая сторона [anki:play:a:0]
disagree [ˌdɪsəˈgriː] (v.) [anki:play:q:0]	не совпадать, расходиться [anki:play:a:0]
heavy [ˈheviː] (adj.) [anki:play:q:0]	тяжелый [anki:play:a:0]
steady [ˈstediː] (adj.) [anki:play:q:0]	устойчивый, прочный [anki:play:a:0]
worry [ˈwəriː] (v.) [anki:play:q:0]	надоедать, докучать, приставать [anki:play:a:0]
appointment [əˈpɔɪntmənt] (n.) [anki:play:q:0]	назначение, указание [anki:play:a:0]
original [əˈrɪdʒənəl] (n.) [anki:play:q:0]	оригинал, подлинник [anki:play:a:0]
encourage [ɪnˈkərɪdʒ] (v.) [anki:play:q:0]	ободрять, поощрять, содействовать [anki:play:a:0]
empty [ˈem(p)tiː] (adj.) [anki:play:q:0]	пустой, полый, голодный [anki:play:a:0]
cover [ˈkəvər] (v.) [anki:play:q:0]	накрывать, закрывать [anki:play:a:0]
railroad [ˈreɪlˌroʊd] (n.) [anki:play:q:0]	железная дорога [anki:play:a:0]
rock [ˈrɑk] (n.) [anki:play:q:0]	скала, камень [anki:play:a:0]
baby [ˈbeɪbiː] (n.) [anki:play:q:0]	ребенок, малютка [anki:play:a:0]
shy [ˈʃaɪ] (adj.) [anki:play:q:0]	застенчивый, робкий [anki:play:a:0]
visit [ˈvɪzət] (n.) [anki:play:q:0]	посещение, визит [anki:play:a:0]
illegally [ɪ(l)ˈliːgəliː] (adv.) [anki:play:q:0]	незаконно, нелегально [anki:play:a:0]
explore [ɪkˈsplɔr] (v.) [anki:play:q:0]	исследовать, изучать, анализировать [anki:play:a:0]
arrive [əˈraɪv] (v.) [anki:play:q:0]	прибывать, приезжать [anki:play:a:0]
familiar [fəˈmɪljər] (adj.) [anki:play:q:0]	близкий, привычный [anki:play:a:0]
solid [ˈsɑləd] (n.) [anki:play:q:0]	твердое тело [anki:play:a:0]
deliberately [deliberately] (adv.) [anki:play:q:0]	преднамеренно, нарочно [anki:play:a:0]
relief [rɪˈliːf] (n.) [anki:play:q:0]	облегчение, утешение [anki:play:a:0]
follow [ˈfɑloʊ] (v.) [anki:play:q:0]	следовать, идти за [anki:play:a:0]
low [ˈloʊ] (adv.) [anki:play:q:0]	низко, глубоко, бедно [anki:play:a:0]
food [ˈfuːd] (n.) [anki:play:q:0]	пища, еда, корм [anki:play:a:0]
other [ˈəðər] (pron.) [anki:play:q:0]	другой, иной [anki:play:a:0]
test [ˈtest] (n.) [anki:play:q:0]	проверка, испытание, тест [anki:play:a:0]
them [(ð)əm] (pron.) [anki:play:q:0]	они, их, собой [anki:play:a:0]
directly [dəˈrekliː] (adv.) [anki:play:q:0]	прямо, в прямом направлении [anki:play:a:0]
proof [ˈpruːf] (n.) [anki:play:q:0]	подтверждение, доказательство [anki:play:a:0]
pipe [ˈpaɪp] (n.) [anki:play:q:0]	трубка, труба [anki:play:a:0]
remember [rɪˈmembər] (v.) [anki:play:q:0]	помнить, вспоминать [anki:play:a:0]
cream [ˈkriːm] (adj.) [anki:play:q:0]	кремовый [anki:play:a:0]
train [ˈtreɪn] (n.) [anki:play:q:0]	поезд, состав [anki:play:a:0]
limit [ˈlɪmət] (v.) [anki:play:q:0]	ограничивать [anki:play:a:0]
afraid [əˈfreɪd] (adj.) [anki:play:q:0]	испуганный, напуганный [anki:play:a:0]
north [ˈnɔrθ] (n.) [anki:play:q:0]	север [anki:play:a:0]
home [ˈhjuːm] (adv.) [anki:play:q:0]	домашний [anki:play:a:0]
confuse [kənˈfjuːz] (v.) [anki:play:q:0]	смешивать, путать, конфузить [anki:play:a:0]
helpful [ˈhelpfəl] (adj.) [anki:play:q:0]	полезный [anki:play:a:0]
before [bɪˈfɔr] (conj.) [anki:play:q:0]	прежде чем [anki:play:a:0]
shower [ˈʃæʊr] (n.) [anki:play:q:0]	душ, ливень, дождь [anki:play:a:0]
serve [ˈsərv] (v.) [anki:play:q:0]	служить, работать [anki:play:a:0]
video [ˈvɪdiːˌoʊ] (n.) [anki:play:q:0]	видео [anki:play:a:0]
remark [rɪˈmɑrk] (n.) [anki:play:q:0]	замечание, высказывание [anki:play:a:0]
up [ˈəp] (adv.) [anki:play:q:0]	вверх, наверх, сверху, наверху [anki:play:a:0]
free [ˈfriː] (adj.) [anki:play:q:0]	свободный [anki:play:a:0]
proud [ˈpræʊd] (adj.) [anki:play:q:0]	гордый [anki:play:a:0]
sexual [ˈsekʃwəl] (adj.) [anki:play:q:0]	половой, сексуальный [anki:play:a:0]
club [ˈkləb] (n.) [anki:play:q:0]	дубина, бита [anki:play:a:0]
fall [ˈfɔl] (n.) [anki:play:q:0]	падение [anki:play:a:0]
deal [ˈdiːl] (v.) [anki:play:q:0]	распределять, раздавать [anki:play:a:0]
outside [ˌæʊtˈsaɪd] (adj.) [anki:play:q:0]	внешний, наружный [anki:play:a:0]
lightly [ˈlaɪtliː] (adv.) [anki:play:q:0]	слегка, чуть-чуть [anki:play:a:0]
royal [ˈrɔɪl] (adj.) [anki:play:q:0]	царский [anki:play:a:0]
matter [ˈmætər] (v.) [anki:play:q:0]	иметь значение, значит [anki:play:a:0]
jeans [ˈdʒiːnz] (n.) [anki:play:q:0]	джинсы [anki:play:a:0]
plain [ˈpleɪn] (adj.) [anki:play:q:0]	очевидный, явный [anki:play:a:0]
original [əˈrɪdʒənəl] (adj.) [anki:play:q:0]	начальный, исходный, оригинальный [anki:play:a:0]
political [pəˈlɪtɪkəl] (adj.) [anki:play:q:0]	политический [anki:play:a:0]
common [ˈkɑmən] (adj.) [anki:play:q:0]	общий, всеобщий, публичный [anki:play:a:0]
call [ˈkɔl] (v.) [anki:play:q:0]	кричать, говорить по телефону, давать имя, звать [anki:play:a:0]
experience [ɪkˈspɪriːəns] (v.) [anki:play:q:0]	испытывать, переживать [anki:play:a:0]
first [ˈfərst] (adv.) [anki:play:q:0]	раньше, ранее, впервые [anki:play:a:0]
appropriate [əˈproʊpriːˌeɪt] (adj.) [anki:play:q:0]	подходящий, должный, свойственный [anki:play:a:0]
judgment [ˈdʒədʒmənt] (n.) [anki:play:q:0]	взгляд, мнение, наказание, заключение суда [anki:play:a:0]
pack [ˈpæk] (v.) [anki:play:q:0]	упаковываться, укладываться [anki:play:a:0]
easy [ˈiːziː] (adj.) [anki:play:q:0]	легкий, нетрудный [anki:play:a:0]
same [ˈseɪm] (pron.) [anki:play:q:0]	одно и тоже [anki:play:a:0]
available [əˈveɪləbəl] (adj.) [anki:play:q:0]	доступный, подходящий [anki:play:a:0]
desert [ˈdezərt] (n.) [anki:play:q:0]	пустыня [anki:play:a:0]
why [ˈwaɪ] (adv.) [anki:play:q:0]	почему? [anki:play:a:0]
kind [ˈkaɪnd] (n.) [anki:play:q:0]	сорт, вид [anki:play:a:0]
training [ˈtreɪnɪŋ] (n.) [anki:play:q:0]	воспитание, обучение, тренировка [anki:play:a:0]
warm [ˈwɔrm] (adj.) [anki:play:q:0]	теплый, жаркий [anki:play:a:0]
lesson [ˈlesən] (n.) [anki:play:q:0]	урок, занятие [anki:play:a:0]
arrangement [əˈreɪndʒmənt] (n.) [anki:play:q:0]	расположение, систематизация [anki:play:a:0]
extremely [extremely] (adv.) [anki:play:q:0]	чрезвычайно, крайне [anki:play:a:0]
behind [bɪˈhaɪnd] (prep.) [anki:play:q:0]	за, сзади, позади [anki:play:a:0]
smoke [ˈsmoʊk] (n.) [anki:play:q:0]	дым, копоть [anki:play:a:0]
asleep [əˈsliːp] (adj.) [anki:play:q:0]	спящий, затекший [anki:play:a:0]
spread [ˈspred] (v.) [anki:play:q:0]	развертывать, размазывать, распространять [anki:play:a:0]
criminal [ˈkrɪmənəl] (adj.) [anki:play:q:0]	преступный [anki:play:a:0]
covering [ˈkəvərɪŋ] (n.) [anki:play:q:0]	покрышка, чехол, покров [anki:play:a:0]
birth [ˈbərθ] (n.) [anki:play:q:0]	рождение, роды [anki:play:a:0]
separate [ˈsepˌreɪt] (adj.) [anki:play:q:0]	отдельный, разъединенный [anki:play:a:0]
smile [ˈsmaɪ] (n.) [anki:play:q:0]	улыбка [anki:play:a:0]
airport [ˈerˌpɔrt] (n.) [anki:play:q:0]	аэропорт [anki:play:a:0]
somewhere [somewhere] (adv.) [anki:play:q:0]	где-то, где-нибудь [anki:play:a:0]
understand [ˌəndərˈstænd] (v.) [anki:play:q:0]	понимать, постигать [anki:play:a:0]
stage [ˈsteɪdʒ] (n.) [anki:play:q:0]	арена, сцена [anki:play:a:0]
writer [ˈraɪtər] (n.) [anki:play:q:0]	писатель, автор [anki:play:a:0]
introduce [ˌɪntrəˈduːs] (v.) [anki:play:q:0]	представлять, знакомить [anki:play:a:0]
east [ˈiːst] (adj.) [anki:play:q:0]	восточный [anki:play:a:0]
exciting [ɪkˈsaɪtɪŋ] (adj.) [anki:play:q:0]	возбуждающий, волнующий [anki:play:a:0]
pink [ˈpɪŋk] (n.) [anki:play:q:0]	розовый цвет, гвоздика [anki:play:a:0]
regularly [ˈregjələrliː] (adv.) [anki:play:q:0]	правильно, методично, регулярно [anki:play:a:0]
navy [ˈneɪviː] (n.) [anki:play:q:0]	ВМФ, эскадра [anki:play:a:0]
towel [ˈtæʊl] (n.) [anki:play:q:0]	полотенце [anki:play:a:0]
toe [ˈtoʊ] (n.) [anki:play:q:0]	палец ноги [anki:play:a:0]
himself [(h)ɪmˈself] (pron.) [anki:play:q:0]	себя, себе, сам [anki:play:a:0]
pleased [ˈpliːzd] (adj.) [anki:play:q:0]	довольный [anki:play:a:0]
head [ˈhed] (n.) [anki:play:q:0]	голова [anki:play:a:0]
uncle [ˈəŋkəl] (n.) [anki:play:q:0]	дядя [anki:play:a:0]
cut [ˈkət] (v.) [anki:play:q:0]	резать, разрезать [anki:play:a:0]
basis [ˈbeɪsəs] (n.) [anki:play:q:0]	базис, основа [anki:play:a:0]
Mrs [Mrs] (abbr.) [anki:play:q:0]	миссис [anki:play:a:0]
farm [ˈfɑrm] (n.) [anki:play:q:0]	ферма [anki:play:a:0]
harm [ˈhɑrm] (v.) [anki:play:q:0]	вредить [anki:play:a:0]
length [ˈleŋ(k)θ] (n.) [anki:play:q:0]	длина [anki:play:a:0]
analyze [ˈænəˌlaɪz] (v.) [anki:play:q:0]	исследовать, разбирать, анализировать [anki:play:a:0]
combination [ˌkɑmbəˈneɪʃən] (n.) [anki:play:q:0]	соединение, сочетание, комбинация [anki:play:a:0]
break [ˈbreɪk] (v.) [anki:play:q:0]	ломать, разбивать [anki:play:a:0]
signal [ˈsɪgnəl] (n.) [anki:play:q:0]	знак, сигнал [anki:play:a:0]
carefully [carefully] (adv.) [anki:play:q:0]	внимательно, осмотрительно [anki:play:a:0]
private [ˈpraɪvət] (adj.) [anki:play:q:0]	частный, личный [anki:play:a:0]
actually [ˈæktʃ(əw)əliː] (adv.) [anki:play:q:0]	фактически, на самом деле [anki:play:a:0]
deny [dɪˈnaɪ] (v.) [anki:play:q:0]	отрицать, отвергать [anki:play:a:0]
town [ˈtæʊn] (n.) [anki:play:q:0]	город (небольшой) [anki:play:a:0]
underwater [ˌəndərˈwɔtər] (adv.) [anki:play:q:0]	под водой [anki:play:a:0]
mountain [ˈmæʊntən] (n.) [anki:play:q:0]	гора [anki:play:a:0]
rush [ˈrəʃ] (v.) [anki:play:q:0]	стремится, нестись [anki:play:a:0]
control [kənˈtroʊl] (n.) [anki:play:q:0]	руководство, власть, контроль [anki:play:a:0]
heat [ˈhiːt] (v.) [anki:play:q:0]	нагреваться, накаливаться [anki:play:a:0]
amuse [əˈmjuːz] (v.) [anki:play:q:0]	развлекать, отвлекать [anki:play:a:0]
telephone [ˈteləˌfoʊn] (n.) [anki:play:q:0]	телефон [anki:play:a:0]
search [ˈsərtʃ] (v.) [anki:play:q:0]	искать, разыскивать [anki:play:a:0]
prayer [ˈprer] (n.) [anki:play:q:0]	молитва [anki:play:a:0]
fit [ˈfɪt] (adj.) [anki:play:q:0]	подходящий, годный [anki:play:a:0]
quarter [ˈkwɔtər] (n.) [anki:play:q:0]	четверть [anki:play:a:0]
inside [ɪnˈsaɪd] (n.) [anki:play:q:0]	внутренность [anki:play:a:0]
including [ɪnˈkluːdɪŋ] (prep.) [anki:play:q:0]	включая, вместе с, в том числе [anki:play:a:0]
storm [ˈstɔrm] (n.) [anki:play:q:0]	буря, гроза, ураган [anki:play:a:0]
hair [ˈher] (n.) [anki:play:q:0]	волосы [anki:play:a:0]
wing [ˈwɪŋ] (n.) [anki:play:q:0]	крыло [anki:play:a:0]
odd [ˈɑd] (adj.) [anki:play:q:0]	нечетный [anki:play:a:0]
somehow [ˈsəmˌhæʊ] (adv.) [anki:play:q:0]	как-нибудь, как-то [anki:play:a:0]
heart [ˈhɑrt] (n.) [anki:play:q:0]	сердце [anki:play:a:0]
prevent [prɪˈvent] (v.) [anki:play:q:0]	предотвращать, предупреждать [anki:play:a:0]
think [ˈθɪŋk] (v.) [anki:play:q:0]	думать, мыслить [anki:play:a:0]
end [ˈend] (n.) [anki:play:q:0]	конец, край [anki:play:a:0]
politely [politely] (adv.) [anki:play:q:0]	вежливо, любезно [anki:play:a:0]
exchange [ɪksˈtʃeɪndʒ] (n.) [anki:play:q:0]	обмен, бартер [anki:play:a:0]
out [ˈæʊt] (adj.) [anki:play:q:0]	внешний, наружный [anki:play:a:0]
part [ˈpɑrt] (n.) [anki:play:q:0]	доля, часть [anki:play:a:0]
child [ˈtʃaɪld] (n.) [anki:play:q:0]	ребенок, дитя [anki:play:a:0]
excuse [ɪkˈskjuːz] (n.) [anki:play:q:0]	извинение [anki:play:a:0]
missing [ˈmɪsɪŋ] (adj.) [anki:play:q:0]	недостающий, отсутствующий, пропавший [anki:play:a:0]
in [ˈɪn] (adv.) [anki:play:q:0]	внутри, поблизости [anki:play:a:0]
war [ˈwɔr] (n.) [anki:play:q:0]	война [anki:play:a:0]
probable [ˈprɑbəbəl] (adj.) [anki:play:q:0]	вероятный, возможный [anki:play:a:0]
activity [ækˈtɪvətiː] (n.) [anki:play:q:0]	активность [anki:play:a:0]
disappear [ˌdɪsəˈpɪr] (v.) [anki:play:q:0]	исчезать, теряться [anki:play:a:0]
day [ˈdeɪ] (n.) [anki:play:q:0]	день, сутки [anki:play:a:0]
deep [ˈdiːp] (adj.) [anki:play:q:0]	глубокий, широкий [anki:play:a:0]
chase [ˈtʃeɪs] (v.) [anki:play:q:0]	гнаться, догонять [anki:play:a:0]
nature [ˈneɪtʃər] (n.) [anki:play:q:0]	природа [anki:play:a:0]
mother [ˈməðər] (n.) [anki:play:q:0]	мать [anki:play:a:0]
unusual [unusual] (adj.) [anki:play:q:0]	необыкновенный, странный [anki:play:a:0]
loss [ˈlɔs] (n.) [anki:play:q:0]	потеря, лишение [anki:play:a:0]
insult [ɪnˈsəlt] (v.) [anki:play:q:0]	оскорблять, обижать [anki:play:a:0]
official [əˈfɪʃəl] (adj.) [anki:play:q:0]	официальный, служебный [anki:play:a:0]
identify [aɪˈdentəˌfaɪ] (v.) [anki:play:q:0]	опознавать, разделять взгляды, устанавливать личность [anki:play:a:0]
cost [ˈkɔst] (n.) [anki:play:q:0]	цена, стоимость [anki:play:a:0]
cheek [ˈtʃiːk] (n.) [anki:play:q:0]	щека [anki:play:a:0]
that [ˈðæt] (pron.) [anki:play:q:0]	тот, та, то [anki:play:a:0]
grade [ˈgreɪd] (v.) [anki:play:q:0]	ставить оценку, сортировать [anki:play:a:0]
type [ˈtaɪp] (n.) [anki:play:q:0]	тип, образчик [anki:play:a:0]
probably [ˈprɑbəbliː] (adv.) [anki:play:q:0]	вероятно, наверное [anki:play:a:0]
surface [ˈsərfəs] (n.) [anki:play:q:0]	поверхность [anki:play:a:0]
cabinet [ˈkæbnɪt] (n.) [anki:play:q:0]	кабинет, шкаф, футляр [anki:play:a:0]
jump [ˈdʒəmp] (v.) [anki:play:q:0]	прыгать, скакать [anki:play:a:0]
any [ˈeniː] (pron.) [anki:play:q:0]	кто-нибудь [anki:play:a:0]
translate [trænsˈleɪt] (v.) [anki:play:q:0]	переводить, транслировать [anki:play:a:0]
trash [ˈtræʃ] (n.) [anki:play:q:0]	хлам, отбросы, макулатура [anki:play:a:0]
vary [ˈveriː] (v.) [anki:play:q:0]	изменять, меняться, отличаться [anki:play:a:0]
his [(h)ɪz] (adj.) [anki:play:q:0]	его, свой, принадлежащий ему [anki:play:a:0]
face [ˈfeɪs] (v.) [anki:play:q:0]	стоять лицом к лицу, встречаться [anki:play:a:0]
often [ˈɔfən] (adv.) [anki:play:q:0]	часто, много раз [anki:play:a:0]
discover [dɪsˈkəvər] (v.) [anki:play:q:0]	обнаруживать, находить, делать открытие [anki:play:a:0]
late [ˈleɪt] (adv.) [anki:play:q:0]	поздно [anki:play:a:0]
upper [ˈəpər] (adj.) [anki:play:q:0]	верхний, расположенный на верху [anki:play:a:0]
whole [ˈhoʊl] (adj.) [anki:play:q:0]	весь, целый, полный [anki:play:a:0]
investigate [ɪnˈvestəˌgeɪt] (v.) [anki:play:q:0]	расследовать, изучать, исследовать [anki:play:a:0]
than [ðən] (prep.) [anki:play:q:0]	чем, нежели, кроме [anki:play:a:0]
active [ˈæktɪv] (adj.) [anki:play:q:0]	активный, живой [anki:play:a:0]
bright [ˈbraɪt] (adj.) [anki:play:q:0]	яркий, блестящий, погожий (о погоде) [anki:play:a:0]
nuclear [ˈnuːkliːər] (adj.) [anki:play:q:0]	ядерный [anki:play:a:0]
my [ˈmaɪ] (pron.) [anki:play:q:0]	мой, моя, моё, мои [anki:play:a:0]
mental [ˈmentəl] (adj.) [anki:play:q:0]	интеллектуальный, умственный [anki:play:a:0]
employ [ɪmˈplɔɪ] (v.) [anki:play:q:0]	нанимать, использовать [anki:play:a:0]
lid [ˈlɪd] (n.) [anki:play:q:0]	крышка, веко [anki:play:a:0]
persuade [pərˈsweɪd] (v.) [anki:play:q:0]	убеждать [anki:play:a:0]
equal [ˈiːkwəl] (adj.) [anki:play:q:0]	равный, одинаковый [anki:play:a:0]
through [ˈθruː] (prep.) [anki:play:q:0]	через, сквозь [anki:play:a:0]
need [ˈniːd] (n.) [anki:play:q:0]	необходимость, нужда [anki:play:a:0]
goal [ˈgoʊl] (n.) [anki:play:q:0]	задача, цель [anki:play:a:0]
fork [ˈfɔrk] (n.) [anki:play:q:0]	вилка [anki:play:a:0]
joke [ˈdʒoʊk] (n.) [anki:play:q:0]	шутка, острота [anki:play:a:0]
meat [ˈmiːt] (n.) [anki:play:q:0]	мясо [anki:play:a:0]
expression [ɪkˈspreʃən] (n.) [anki:play:q:0]	выражение, экспрессия [anki:play:a:0]
honest [ˈɑnəst] (adj.) [anki:play:q:0]	честный, настоящий [anki:play:a:0]
drawing [ˈdrɔ()ɪŋ] (n.) [anki:play:q:0]	рисование, черчение [anki:play:a:0]
youth [ˈjuːθ] (n.) [anki:play:q:0]	молодость, юность [anki:play:a:0]
tear [ˈtɪr] (n.) [anki:play:q:0]	слеза [anki:play:a:0]
hers [ˈhərz] (pron.) [anki:play:q:0]	её, принадлежащий ей [anki:play:a:0]
none [ˈnən] (pron.) [anki:play:q:0]	ни один из, ничуть [anki:play:a:0]
impossible [ɪmˈpɑsəbəl] (adj.) [anki:play:q:0]	невозможный [anki:play:a:0]
female [ˈfiːˌmeɪl] (adj.) [anki:play:q:0]	женский [anki:play:a:0]
paint [ˈpeɪnt] (v.) [anki:play:q:0]	рисовать [anki:play:a:0]
artificial [ˌɑrtəˈfɪʃəl] (n.) [anki:play:q:0]	искусственный, ненатуральный [anki:play:a:0]
period [ˈpɪriːəd] (n.) [anki:play:q:0]	период, срок [anki:play:a:0]
push [ˈpʊʃ] (v.) [anki:play:q:0]	толкать, пихать [anki:play:a:0]
otherwise [otherwise] (adv.) [anki:play:q:0]	иначе, иным способом [anki:play:a:0]
start [ˈstɑrt] (v.) [anki:play:q:0]	начинать, браться, стартовать [anki:play:a:0]
underwater [ˌəndərˈwɔtər] (adj.) [anki:play:q:0]	подводный [anki:play:a:0]
ground [ˈgræʊnd] (n.) [anki:play:q:0]	земля, грунт [anki:play:a:0]
shout [ˈʃæʊt] (n.) [anki:play:q:0]	возглас, крик [anki:play:a:0]
find [ˈfaɪnd] (v.) [anki:play:q:0]	находить, встречать [anki:play:a:0]
such [ˈsətʃ] (adj.) [anki:play:q:0]	такой [anki:play:a:0]
anyone [ˈeniːwən] (pron.) [anki:play:q:0]	кто-нибудь [anki:play:a:0]
grandfather [ˈgrænˌfɑðər] (n.) [anki:play:q:0]	дедушка, предок [anki:play:a:0]
pot [ˈpɑt] (n.) [anki:play:q:0]	горшок, кастрюля, банка [anki:play:a:0]
country [ˈkəntriː] (n.) [anki:play:q:0]	страна, местность [anki:play:a:0]
slow [ˈsloʊ] (adj.) [anki:play:q:0]	медленный, тихий [anki:play:a:0]
green [ˈgriːn] (n.) [anki:play:q:0]	зеленый цвет или краска [anki:play:a:0]
your [jər] (adj.) [anki:play:q:0]	ваш, принадлежащий вам, твой, свой [anki:play:a:0]
vegetable [ˈvedʒtəbəl] (n.) [anki:play:q:0]	овощ [anki:play:a:0]
confident [ˈkɑnfədənt] (adj.) [anki:play:q:0]	уверенный, доверительный [anki:play:a:0]
trip [ˈtrɪp] (v.) [anki:play:q:0]	идти быстро, скакать [anki:play:a:0]
although [ɔlˈðoʊ] (conj.) [anki:play:q:0]	хотя, если бы даже [anki:play:a:0]
crime [ˈkraɪm] (n.) [anki:play:q:0]	преступление [anki:play:a:0]
chocolate [ˈtʃɑklət] (n.) [anki:play:q:0]	шоколад [anki:play:a:0]
neatly [neatly] (adv.) [anki:play:q:0]	аккуратно, опрятно [anki:play:a:0]
thin [ˈθɪn] (adj.) [anki:play:q:0]	тонкий, худой [anki:play:a:0]
recover [rɪˈkəvər] (v.) [anki:play:q:0]	возвращать, восстанавливать [anki:play:a:0]
rice [ˈraɪs] (n.) [anki:play:q:0]	рис [anki:play:a:0]
swim [ˈswɪm] (v.) [anki:play:q:0]	плавать, плыть [anki:play:a:0]
sick [ˈsɪk] (adj.) [anki:play:q:0]	больной, нездоровый [anki:play:a:0]
screen [ˈskriːn] (n.) [anki:play:q:0]	ширма, экран [anki:play:a:0]
aged [ˈeɪdʒəd] (adj.) [anki:play:q:0]	пожилой, старый [anki:play:a:0]
operation [ˌɑpəˈreɪʃən] (n.) [anki:play:q:0]	деятельность, работа, операция [anki:play:a:0]
blue [ˈbluː] (adj.) [anki:play:q:0]	голубой, синий [anki:play:a:0]
alone [əˈloʊn] (adv.) [anki:play:q:0]	исключительно, только [anki:play:a:0]
result [rɪˈzəlt] (n.) [anki:play:q:0]	результат, исход [anki:play:a:0]
shape [ˈʃeɪp] (v.) [anki:play:q:0]	придавать форму [anki:play:a:0]
hunt [ˈhənt] (v.) [anki:play:q:0]	охотится [anki:play:a:0]
miss [ˈmɪs] (v.) [anki:play:q:0]	потерпеть неудачу, не достичь ( результата или цели), не заводится, потерять (что-либо) [anki:play:a:0]
cream [ˈkriːm] (n.) [anki:play:q:0]	сливки, пена, крем [anki:play:a:0]
represent [ˌreprɪˈzent] (v.) [anki:play:q:0]	изображать, представлять [anki:play:a:0]
used [ˈjuːzd] (adj.) [anki:play:q:0]	подержанный, старый [anki:play:a:0]
economic [ˌekəˈnɑmɪk] (adj.) [anki:play:q:0]	экономический [anki:play:a:0]
transportation [ˌtrænspərˈteɪʃən] (n.) [anki:play:q:0]	перевозка, траспортировка [anki:play:a:0]
back [ˈbæk] (adj.) [anki:play:q:0]	задний [anki:play:a:0]
taste [ˈteɪst] (n.) [anki:play:q:0]	вкус, кусочек, глоточек [anki:play:a:0]
order [ˈɔrdər] (v.) [anki:play:q:0]	приказывать, заказывать, предписывать [anki:play:a:0]
wonderful [ˈwəndərfəl] (adj.) [anki:play:q:0]	замечательный, изумительный, поразительный [anki:play:a:0]
pin [ˈpɪn] (n.) [anki:play:q:0]	булавка, кнопка [anki:play:a:0]
path [ˈpæθ] (n.) [anki:play:q:0]	путь, тропа [anki:play:a:0]
call [ˈkɔl] (n.) [anki:play:q:0]	крик, зов [anki:play:a:0]
multiply [ˈməltəˌplaɪ] (v.) [anki:play:q:0]	увеличивать, умножать [anki:play:a:0]
tube [ˈtuːb] (n.) [anki:play:q:0]	труба, трубка [anki:play:a:0]
peaceful [ˈpiːsfəl] (adj.) [anki:play:q:0]	мирный [anki:play:a:0]
forget [fərˈget] (v.) [anki:play:q:0]	забывать, игнорировать [anki:play:a:0]
only [ˈoʊnliː] (adj.) [anki:play:q:0]	единственный [anki:play:a:0]
receive [rɪˈsiːv] (v.) [anki:play:q:0]	получать, приобретать (предмет, образование и тд.) [anki:play:a:0]
rudely [rudely] (adv.) [anki:play:q:0]	неистово, яростно [anki:play:a:0]
plenty [ˈplentiː] (adv.) [anki:play:q:0]	вполне, довольно [anki:play:a:0]
free [ˈfriː] (v.) [anki:play:q:0]	освобождать [anki:play:a:0]
feel [ˈfiːl] (v.) [anki:play:q:0]	ощупывать, трогать, осязать [anki:play:a:0]
apparently [apparently] (adv.) [anki:play:q:0]	очевидно, несомненно [anki:play:a:0]
this [ˈðɪs] (pron.) [anki:play:q:0]	этот, эта, это [anki:play:a:0]
member [ˈmembər] (n.) [anki:play:q:0]	член, участник [anki:play:a:0]
whatever [wɑtˈevər] (adj.) [anki:play:q:0]	какой бы ни, любой [anki:play:a:0]
carry [ˈkæriː] (v.) [anki:play:q:0]	нести, относить [anki:play:a:0]
design [dɪˈzaɪn] (v.) [anki:play:q:0]	придумывать, замышлять, проектировать [anki:play:a:0]
